00:00:00.35 [ThreadPoolTaskScheduler-1] INFO  c.e.d.scheduler.ScraperScheduler - scraping scheduler is started
17:23:08.236 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2448 ms
17:23:08.304 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
17:23:08.426 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
17:23:08.434 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:dividend'
17:23:08.744 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
17:23:08.781 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
17:23:08.871 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
17:23:08.955 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
17:23:09.531 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
17:23:09.539 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
17:23:10.444 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
17:23:10.827 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/h2-console/**'] with []
17:23:10.869 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@382608d0, org.springframework.security.web.context.SecurityContextPersistenceFilter@23909b3, org.springframework.security.web.header.HeaderWriterFilter@663e1144, org.springframework.security.web.authentication.logout.LogoutFilter@26c1f3eb, com.example.dividend.sercurity.JwtAuthenticationFilter@776a3365, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4a490518, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@628aea61, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3c468360, org.springframework.security.web.session.SessionManagementFilter@75b4db22, org.springframework.security.web.access.ExceptionTranslationFilter@5bfdabf3, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@47c422d3]
17:23:11.586 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
17:23:11.603 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
17:23:11.628 [main] INFO  c.e.dividend.DividendApplication - Started DividendApplication in 6.684 seconds (JVM running for 8.244)
17:23:16.317 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
17:23:16.319 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
17:23:16.322 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
17:23:21.387 [http-nio-8080-exec-3] INFO  c.e.dividend.web.AuthController - user login -> grace
17:23:43.715 [http-nio-8080-exec-4] INFO  c.e.d.s.JwtAuthenticationFilter - [grace] -> /company
17:23:52.400 [http-nio-8080-exec-5] INFO  c.e.d.s.JwtAuthenticationFilter - [grace] -> /company/autocomplete
17:24:02.589 [http-nio-8080-exec-6] INFO  c.e.d.s.JwtAuthenticationFilter - [grace] -> /company/autocomplete
17:24:15.864 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
17:24:15.881 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
17:24:15.904 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
17:24:22.525 [main] INFO  c.e.dividend.DividendApplication - Starting DividendApplication using Java 11.0.17 on anjaehyuns-MacBook-Air.local with PID 82463 (/Users/jaehyun/Desktop/zero-base/dividend/build/classes/java/main started by jaehyun in /Users/jaehyun/Desktop/zero-base/dividend)
17:24:22.528 [main] INFO  c.e.dividend.DividendApplication - No active profile set, falling back to default profiles: default
17:24:23.786 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
17:24:23.787 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
17:24:23.914 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 119 ms. Found 3 JPA repository interfaces.
17:24:23.939 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
17:24:23.940 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
17:24:23.965 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.dividend.persist.repository.CompanyRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
